t,des_Base_Revolute-1,des_Arm-1_Revolute-2,des_Arm-2_Revolute-3,des_Arm-3_Revolute-4,des_Arm-4_Revolute-5,des_Arm-5_Revolute-6,act_Base_Revolute-1,act_Arm-1_Revolute-2,act_Arm-2_Revolute-3,act_Arm-3_Revolute-4,act_Arm-4_Revolute-5,act_Arm-5_Revolute-6,ee_act_x,ee_act_y,ee_act_z,ee_des_x,ee_des_y,ee_des_z
0.0009782970000000002,-2.4900534925330224,1.8174055378493457,-1.9747547275215465,-0.15736109310167137,-2.2223355934664677,1.5707877887859145,4.8665418653808967e-23,-1.257528755218752e-16,-7.616063080867895e-16,7.64668622680678e-18,-1.770246928972722e-22,-8.069129370077911e-20,0.0006555600000001699,0.1245000000000001,0.46690024,nan,nan,nan
0.007523655000000001,-2.490053492533051,1.8174053527157266,-1.9747545139128717,-0.15736106461716598,-2.2223355934664695,1.5707877887925232,-1.4181671126201902,1.03507199907099,-1.1246875140622912,-0.08962229554767444,-1.2656929905850616,0.8946151518295757,0.0006555600000001699,0.1245000000000001,0.46690024,nan,nan,nan
0.017522463000000002,-2.4900534925332933,1.8174038017970053,-1.974752724450242,-0.15736082599409537,-2.222335593466481,1.5707877888478856,-2.116309821651141,1.5446220665032349,-1.6783538865662506,-0.13374193741613374,-1.8887749429256535,1.335020968545403,0.0006555600000001699,0.1245000000000001,0.46690024,nan,nan,nan
0.027510361,-2.4900534925339923,1.8173993267575252,-1.974747561113307,-0.15736013746822528,-2.2223355934665148,1.5707877890076292,-2.359737132390986,1.7222890916550784,-1.8714029936963448,-0.14912518252726872,-2.106030186143658,1.4885809817847666,0.0006555600000001699,0.1245000000000001,0.46690024,nan,nan,nan
0.037482489,-2.490053492535399,1.8173903200139798,-1.9747371690593774,-0.15735875169811883,-2.222335593466582,1.5707877893291389,-2.444614987366866,1.784233114188081,-1.9387097031204332,-0.1544882747535659,-2.18178240546091,1.54212404782177,0.10149468065624205,0.0057201593177766685,0.30663728106963206,nan,nan,nan
0.047603237,-2.4900534925378004,1.817374945902701,-1.9747194302847892,-0.15735638625008372,-2.2223355934666973,1.5707877898779417,-2.4742100654359307,1.805823469423915,-1.9621686519774968,-0.1563570093033814,-2.2081955711298766,1.5607933608557643,0.10149468065624205,0.0057201593177766685,0.30663728106963206,nan,nan,nan
0.057581537,-2.4900534925413815,1.8173520188609047,-1.9746929768775634,-0.15735285871441124,-2.222335593466869,1.5707877906963579,-2.484529231092206,1.8133387137561605,-1.9703334586359877,-0.15700662011911395,-2.2174052725347253,1.5673029482599854,0.10149468065624205,0.0057201593177766685,0.30663728106963206,nan,nan,nan
0.06753533,-2.490053492546389,1.8173199578745394,-1.974655984650833,-0.1573479258375882,-2.2223355934671094,1.5707877918408246,-2.488127301678742,1.8159405993531088,-1.9731589843806598,-0.15723027623128208,-2.2206164968549182,1.5695727017025336,0.10149468065624205,0.0057201593177766685,0.30663728106963206,nan,nan,nan
0.077615772,-2.4900534925531503,1.8172766675804493,-1.9746060359575528,-0.15734126522877384,-2.222335593467434,1.5707877933861387,-2.4893818713219558,1.816822773154498,-1.9741152841536318,-0.1573044064916987,-2.2217361815420307,1.5703641166863085,0.10149468065624205,0.0057201593177766685,0.30663728106963206,nan,nan,nan
0.087485697,-2.490053492561659,1.8172221899122885,-1.9745431791811145,-0.15733288333984555,-2.2223355934678426,1.5707877953308036,-2.4897932927300577,1.8170836246475943,-1.9743960690006042,-0.15732433980032232,-2.2221033690062817,1.5706236529657307,0.1000134471192335,3.2983210303948185e-05,0.30004947958948913,nan,nan,nan
0.097523118,-2.4900534925724327,1.8171532122054017,-1.974463592142106,-0.1573222704869616,-2.22233559346836,1.5707877977930698,-2.489962766493702,1.817151937869797,-1.9744665735718603,-0.15732652913319298,-2.2222546218049852,1.5707305632100896,0.1000134471192335,3.2983210303948185e-05,0.30004947958948913,nan,nan,nan
0.107519051,-2.490053492585516,1.8170694471317796,-1.9743669433191338,-0.15730938246207224,-2.222335593468988,1.570787800783194,-2.490021858349542,1.8171225915833455,-1.9744298140547796,-0.15731911248592395,-2.222307360395304,1.5707678424051486,0.1000134471192335,3.2983210303948185e-05,0.30004947958948913,nan,nan,nan
0.117517809,-2.490053492601165,1.8169692574152172,-1.9742513436096016,-0.15729396735521592,-2.2223355934697393,1.5707878043596213,-2.490042462415099,1.8170519021409994,-1.9743472409967704,-0.1573072245931167,-2.2223257492051656,1.5707808430148353,0.1000134471192335,3.2983210303948185e-05,0.30004947958948913,nan,nan,nan
0.127518892,-2.4900534926195883,1.8168512992727617,-1.9741152425458133,-0.15727581841305985,-2.2223355934706235,1.57078780857032,-2.4900492192869863,1.8169635020133499,-1.9742449126636366,-0.15729329165611708,-2.2223317796002253,1.5707851087404099,0.1000134471192335,3.2983210303948185e-05,0.30004947958948913,nan,nan,nan
0.13769233,-2.4900534926413695,1.8167118438325192,-1.9739543377250608,-0.15725436191446107,-2.2223355934716693,1.5707878135483981,-2.4900521516107794,1.816833743751838,-1.9740950526435657,-0.15727318317923006,-2.2223343966380757,1.5707869632186484,0.10002114646854889,1.6248100683069477e-05,0.30007003622414796,nan,nan,nan
0.147476823,-2.4900534926654503,1.8165576677554682,-1.9737764481138766,-0.15723064051086819,-2.2223355934728253,1.5707878190519524,-2.4900529731062995,1.8167100519990451,-1.9739522957851632,-0.15725411173346415,-2.222335129794179,1.570787485863017,0.10002114646854889,1.6248100683069477e-05,0.30007003622414796,nan,nan,nan
